procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0  91848 471284 378832 3957368    0    0     0     0 1347  609 25  0 75  0  0 2023-04-02 08:05:07
 1  0  91848 473340 378832 3957368    0    0     0     0 1949 1831 25  0 74  0  0 2023-04-02 08:05:08
 1  0  91848 473340 378832 3957376    0    0     0     8 1360  617 25  0 75  0  0 2023-04-02 08:05:09
 1  0  91848 471300 378836 3957376    0    0     0    36 1402  730 25  0 75  0  0 2023-04-02 08:05:10
 1  0  91848 473356 378836 3957376    0    0     0     0 1368  661 25  0 75  0  0 2023-04-02 08:05:11
 1  0  91848 473356 378836 3957376    0    0     0     0 1387  699 25  0 75  0  0 2023-04-02 08:05:12
 2  0  91848 473356 378836 3957376    0    0     0     0 1341  599 25  0 75  0  0 2023-04-02 08:05:13
 1  0  91848 473356 378836 3957376    0    0     0     0 1392  692 25  0 75  0  0 2023-04-02 08:05:14
 1  0  91848 473356 378836 3957376    0    0     0    24 1347  612 25  0 75  0  0 2023-04-02 08:05:15
 1  0  91848 473356 378836 3957376    0    0     0     0 1333  581 25  0 75  0  0 2023-04-02 08:05:16
 1  0  91848 473356 378836 3957376    0    0     0     0 1395  697 25  0 75  0  0 2023-04-02 08:05:17
 1  0  91848 473356 378836 3957376    0    0     0     0 1352  632 25  0 75  0  0 2023-04-02 08:05:18
 1  0  91848 473356 378836 3957376    0    0     0     0 1956 1895 25  1 74  0  0 2023-04-02 08:05:19
 1  0  91848 473356 378840 3957376    0    0     0    16 1379  677 25  0 75  0  0 2023-04-02 08:05:20
 1  0  91848 471324 378840 3957380    0    0     0     0 1880 1684 25  1 74  0  0 2023-04-02 08:05:21
 1  0  91848 471324 378840 3957384    0    0     0     0 1340  599 25  0 75  0  0 2023-04-02 08:05:22
 2  0  91848 471324 378840 3957384    0    0     0     0 1354  637 25  0 75  0  0 2023-04-02 08:05:23
